OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
25-1040,"Life Sciences Teachers, Postsecondary",broad,61480,1.6,,100400,2.0,,,,,,46580,61930,86390,124980,174850,True,
25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,8520,4.1,,96200,1.7,,,,,,47100,65660,90340,120890,157650,True,
25-1042,"Biological Science Teachers, Postsecondary",detailed,51500,1.6,,101320,2.3,,,,,,46430,61380,85600,126200,179450,True,
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,1460,2.9,,92420,1.8,,,,,,50520,65490,87400,114670,144310,True,
25-1050,"Physical Sciences Teachers, Postsecondary",broad,52810,1.5,,98580,1.0,,,,,,47750,62470,86170,121840,168490,True,
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,11750,2.0,,104710,1.5,,,,,,48280,66790,94520,130640,179490,True,
25-1052,"Chemistry Teachers, Postsecondary",detailed,21530,1.7,,94630,1.0,,,,,,47840,60320,80400,114270,163670,True,
25-1053,"Environmental Science Teachers, Postsecondary",detailed,5860,3.2,,94520,1.9,,,,,,42830,60650,84740,114720,159640,True,
25-1054,"Physics Teachers, Postsecondary",detailed,13670,2.2,,101290,1.3,,,,,,49340,64990,90400,125290,169240,True,
25-1060,"Social Sciences Teachers, Postsecondary",broad,115040,1.6,,94270,1.0,,,,,,41510,58490,80990,115270,166450,True,
25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,5590,3.3,,98740,1.2,,,,,,51580,66660,89220,120090,162640,True,
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,9960,2.6,,88790,1.6,,,,,,40800,57480,78840,106380,153900,True,
25-1063,"Economics Teachers, Postsecondary",detailed,13080,2.2,,123720,1.3,,,,,,53860,75710,107260,152110,0,True,
25-1064,"Geography Teachers, Postsecondary",detailed,3720,3.8,,87160,1.1,,,,,,45920,64150,82330,105810,136240,True,
25-1065,"Political Science Teachers, Postsecondary",detailed,15130,1.7,,100970,2.2,,,,,,43460,62020,85760,122000,179450,True,
25-1066,"Psychology Teachers, Postsecondary",detailed,36520,2.7,,89960,1.0,,,,,,41480,57200,78180,108920,155800,True,
25-1067,"Sociology Teachers, Postsecondary",detailed,13420,2.2,,85180,1.4,,,,,,38910,55490,75610,103670,145990,True,
25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,17620,2.5,,85670,2.1,,,,,,32900,52150,69340,107000,165790,True,
25-1070,"Health Teachers, Postsecondary",broad,261130,2.3,,115330,2.0,,,,,,43370,61180,90890,144540,0,True,
25-1071,"Health Specialties Teachers, Postsecondary",detailed,200040,2.8,,124890,2.2,,,,,,43840,63000,99090,164930,0,True,
25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,61100,2.3,,84060,1.9,,,,,,41930,57660,75470,100330,133420,True,
25-1080,"Education and Library Science Teachers, Postsecondary",broad,61790,1.7,,75180,1.1,,,,,,31660,47950,65940,91890,129280,True,
25-1081,"Education Teachers, Postsecondary",detailed,57560,1.8,,75010,1.2,,,,,,30380,47080,65440,92010,130110,True,
25-1082,"Library Science Teachers, Postsecondary",detailed,4230,2.7,,77560,1.2,,,,,,46120,57210,71580,90630,116450,True,
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,42540,3.1,,96870,1.6,,,,,,37170,54520,76160,120600,186440,True,
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,14030,2.8,,74740,2.3,,,,,,35180,49140,63560,86680,129820,True,
25-1112,"Law Teachers, Postsecondary",detailed,14930,5.2,,134760,1.8,,,,,,41650,67640,116430,181790,0,True,
25-1113,"Social Work Teachers, Postsecondary",detailed,13580,4.4,,78110,2.0,,,,,,35670,53820,71570,95880,129560,True,
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",broad,250550,1.8,,83620,0.9,,,,,,37490,52710,71030,101660,145030,True,
25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,91170,2.3,,84780,1.4,,,,,,34220,50300,69690,102330,153060,True,
25-1122,"Communications Teachers, Postsecondary",detailed,28430,2.3,,80940,1.1,,,,,,40690,54050,71030,98750,137520,True,
25-1123,"English Language and Literature Teachers, Postsecondary",detailed,64800,1.4,,81340,1.1,,,,,,39320,52060,69000,100410,141190,True,
25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,22790,3.1,,80410,1.1,,,,,,40970,54110,69920,98710,135800,True,
25-1125,"History Teachers, Postsecondary",detailed,20450,1.7,,85630,1.1,,,,,,37340,56120,76890,104110,141860,True,
25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,22900,5.5,,90160,2.0,,,,,,40470,56510,76160,106240,155430,True,
25-1190,Miscellaneous Postsecondary Teachers,broad,317580,2.9,,77650,1.8,,,,,,31930,46120,63620,100020,141900,True,
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",detailed,2270,7.6,,81580,3.1,,,,,,35540,53030,72220,98620,134420,True,
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,14730,2.7,,75430,1.3,,,,,,33140,49160,66290,94420,130580,True,
25-1194,"Career/Technical Education Teachers, Postsecondary",detailed,105830,1.7,29.67,61710,0.9,16.07,20.52,26.74,35.34,48.71,33420,42680,55620,73500,101310,,
25-1199,"Postsecondary Teachers, All Other",detailed,194740,4.6,,86430,2.6,,,,,,29030,49420,71950,116500,156550,True,
25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",minor,3998620,0.5,,63100,0.5,,,,,,35030,45970,59410,77440,98870,True,
25-2010,Preschool and Kindergarten Teachers,broad,491020,1.2,20.47,42570,0.6,11.01,13.45,17.7,25.41,33.97,22900,27970,36810,52850,70650,,
25-2011,"Preschool Teachers, Except Special Education",detailed,370940,1.4,17.57,36550,0.6,10.53,12.61,15.35,20.36,28.0,21900,26220,31930,42350,58230,,
25-2012,"Kindergarten Teachers, Except Special Education",detailed,120080,2.0,,61170,0.7,,,,,,37360,46280,57860,72440,91980,True,
25-2020,Elementary and Middle School Teachers,broad,1976050,0.8,,65300,0.6,,,,,,40340,48520,60910,78740,100020,True,
25-2021,"Elementary School Teachers, Except Special Education",detailed,1364870,0.9,,65420,0.6,,,,,,40030,48350,60940,79120,100480,True,
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,599520,2.0,,64990,0.7,,,,,,40930,48870,60810,77880,98840,True,
25-2023,"Career/Technical Education Teachers, Middle School",detailed,11670,7.6,,66950,1.5,,,,,,41600,52200,62270,79670,100780,True,
25-2030,Secondary School Teachers,broad,1064540,1.3,,67240,0.5,,,,,,41480,50140,62840,81130,101770,True,
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,991000,1.3,,67340,0.5,,,,,,41330,49990,62870,81410,102130,True,
25-2032,"Career/Technical Education Teachers, Secondary School",detailed,73530,2.5,,65870,0.6,,,,,,43410,52010,62460,77780,96020,True,
25-2050,Special Education Teachers,broad,467020,1.1,,65920,0.8,,,,,,40820,49230,61500,79370,100570,True,
25-2051,"Special Education Teachers, Preschool",detailed,20300,4.0,,68110,3.8,,,,,,34780,46320,61400,82820,115020,True,
25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,191170,1.7,,64790,0.9,,,,,,41020,48860,60620,77580,98480,True,
25-2057,"Special Education Teachers, Middle School",detailed,80110,2.3,,66300,1.0,,,,,,42090,50360,61820,79190,99750,True,
25-2058,"Special Education Teachers, Secondary School",detailed,142500,1.8,,66490,1.0,,,,,,41270,49940,62320,80210,101050,True,
25-2059,"Special Education Teachers, All Other",detailed,32950,6.0,,67670,2.5,,,,,,35740,47090,62820,85010,104790,True,
25-3000,Other Teachers and Instructors,minor,1086850,1.1,20.92,43520,1.5,9.7,12.38,16.33,24.34,36.88,20170,25750,33970,50630,76710,,
25-3010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",broad,42910,4.8,28.75,59810,1.8,15.44,20.43,26.61,34.62,45.97,32120,42500,55350,72000,95630,,
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,42910,4.8,28.75,59810,1.8,15.44,20.43,26.61,34.62,45.97,32120,42500,55350,72000,95630,,
25-3020,Self-Enrichment Teachers,broad,222700,1.5,23.05,47930,1.7,10.54,13.7,19.21,27.97,39.42,21920,28500,39960,58180,82000,,
25-3021,Self-Enrichment Teachers,detailed,222700,1.5,23.05,47930,1.7,10.54,13.7,19.21,27.97,39.42,21920,28500,39960,58180,82000,,
25-3030,"Substitute Teachers, Short-Term",broad,512030,2.0,17.35,36090,3.6,9.16,11.25,14.12,18.35,24.93,19060,23390,29370,38160,51850,,
25-3031,"Substitute Teachers, Short-Term",detailed,512030,2.0,17.35,36090,3.6,9.16,11.25,14.12,18.35,24.93,19060,23390,29370,38160,51850,,
25-3097,"Tutors and Teachers and Instructors, All Other",detailed,309220,1.7,,50390,1.4,,,,,,22110,28840,40590,63170,91630,True,
25-4000,"Librarians, Curators, and Archivists",minor,254360,2.8,26.15,54400,0.8,12.77,17.38,24.45,32.72,41.75,26570,36160,50860,68070,86830,,
25-4010,"Archivists, Curators, and Museum Technicians",broad,30230,2.7,27.38,56960,1.0,14.64,18.87,25.07,33.5,44.13,30460,39250,52140,69670,91800,,
25-4011,Archivists,detailed,6550,6.8,29.43,61210,1.7,15.95,20.6,27.29,36.09,47.59,33180,42840,56760,75070,98990,,
25-4012,Curators,detailed,11750,3.5,29.64,61650,0.9,16.04,20.87,27.4,36.7,46.55,33370,43420,56990,76330,96820,,
25-4013,Museum Technicians and Conservators,detailed,11930,3.9,24.04,49990,1.5,13.33,16.78,21.98,29.25,38.26,27730,34910,45710,60830,79590,,
25-4020,Librarians and Media Collections Specialists,broad,135070,2.1,30.56,63560,0.5,16.74,22.64,29.24,37.34,46.85,34810,47090,60820,77680,97460,,
25-4022,Librarians and Media Collections Specialists,detailed,135070,2.1,30.56,63560,0.5,16.74,22.64,29.24,37.34,46.85,34810,47090,60820,77680,97460,,
25-4030,Library Technicians,broad,89070,4.7,19.05,39630,2.6,11.11,13.5,17.79,23.27,29.64,23110,28080,37010,48400,61650,,
25-4031,Library Technicians,detailed,89070,4.7,19.05,39630,2.6,11.11,13.5,17.79,23.27,29.64,23110,28080,37010,48400,61650,,
25-9000,Other Educational Instruction and Library Occupations,minor,1737130,0.6,,36790,0.4,,,,,,19880,24820,30970,42220,61520,True,
25-9020,Farm and Home Management Educators,broad,8090,3.6,26.38,54870,1.6,12.64,18.23,24.78,32.37,40.94,26300,37910,51550,67330,85140,,
25-9021,Farm and Home Management Educators,detailed,8090,3.6,26.38,54870,1.6,12.64,18.23,24.78,32.37,40.94,26300,37910,51550,67330,85140,,
25-9030,Instructional Coordinators,broad,174900,1.6,33.73,70160,0.5,18.88,24.86,32.2,41.39,50.79,39270,51720,66970,86100,105650,,
25-9031,Instructional Coordinators,detailed,174900,1.6,33.73,70160,0.5,18.88,24.86,32.2,41.39,50.79,39270,51720,66970,86100,105650,,
25-9040,Teaching Assistants,broad,1411590,0.6,,31500,0.6,,,,,,19660,24030,29310,37120,46960,True,
25-9044,"Teaching Assistants, Postsecondary",detailed,138740,2.3,,39460,1.4,,,,,,19880,27080,36250,51000,62540,True,
25-9045,"Teaching Assistants, Except Postsecondary",detailed,1272840,0.7,,30630,0.5,,,,,,19610,23830,28900,36110,44290,True,
25-9090,Miscellaneous Educational Instruction and Library Workers,broad,142550,3.0,22.7,47210,1.6,9.34,13.31,19.98,28.92,40.03,19420,27680,41570,60140,83260,,
25-9099,"Educational Instruction and Library Workers, All Other",detailed,142550,3.0,22.7,47210,1.6,9.34,13.31,19.98,28.92,40.03,19420,27680,41570,60140,83260,,
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1857500,0.7,30.96,64400,0.7,12.25,16.82,25.55,37.93,54.63,25490,34980,53150,78900,113630,,
27-1000,Art and Design Workers,minor,594670,0.9,28.44,59150,0.6,12.5,15.88,23.85,35.44,49.74,26010,33040,49600,73710,103470,,
27-1010,Artists and Related Workers,broad,89800,2.4,44.97,93530,1.3,16.94,26.3,38.64,55.85,78.4,35230,54700,80360,116170,163080,,
27-1011,Art Directors,detailed,40950,2.2,55.04,114490,1.4,26.22,34.43,46.77,65.53,95.79,54530,71610,97270,136310,199250,,
27-1012,Craft Artists,detailed,4090,7.8,18.39,38260,2.0,10.4,13.17,16.92,21.82,28.66,21630,27400,35180,45390,59620,,
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,11070,7.3,31.26,65020,6.8,9.41,15.0,25.16,37.7,59.09,19570,31200,52340,78410,122900,,
27-1014,Special Effects Artists and Animators,detailed,26460,5.4,42.35,88080,2.0,20.38,27.35,37.36,52.23,68.63,42390,56890,77700,108640,142750,,
27-1019,"Artists and Related Workers, All Other",detailed,7220,6.0,33.48,69650,4.6,13.4,18.26,31.63,47.05,55.94,27860,37980,65800,97860,116350,,
27-1020,Designers,broad,504880,1.0,25.5,53030,0.5,12.26,15.22,22.11,31.78,43.73,25500,31650,45980,66110,90960,,
27-1021,Commercial and Industrial Designers,detailed,30100,3.1,36.68,76290,0.9,20.12,26.36,34.44,45.28,56.94,41860,54820,71640,94190,118440,,
27-1022,Fashion Designers,detailed,21050,5.4,41.93,87210,2.6,18.54,26.19,36.45,48.9,70.34,38570,54470,75810,101700,146300,,
27-1023,Floral Designers,detailed,36810,2.4,14.74,30670,0.8,9.67,11.56,14.01,17.19,20.75,20110,24050,29140,35750,43150,,
27-1024,Graphic Designers,detailed,201440,1.1,28.06,58370,0.5,15.25,19.31,25.66,34.29,44.92,31720,40160,53380,71310,93440,,
27-1025,Interior Designers,detailed,59170,3.2,29.52,61400,0.9,15.88,20.95,27.43,35.93,47.08,33020,43570,57060,74720,97920,,
27-1026,Merchandise Displayers and Window Trimmers,detailed,134660,2.4,16.61,34550,0.7,10.79,12.72,14.81,18.7,24.88,22440,26450,30810,38890,51750,,
27-1027,Set and Exhibit Designers,detailed,10980,9.6,31.06,64610,2.4,14.51,18.65,27.97,39.8,51.07,30180,38790,58180,82780,106230,,
27-1029,"Designers, All Other",detailed,10680,7.4,34.3,71340,3.1,14.68,21.74,30.65,40.88,58.19,30530,45220,63750,85030,121030,,
27-2000,"Entertainers and Performers, Sports and Related Workers",minor,465780,2.8,31.59,65700,2.1,9.89,13.91,22.63,37.26,62.41,20570,28920,47080,77490,129820,,
27-2010,"Actors, Producers, and Directors",broad,163950,7.5,42.4,88190,2.6,13.75,21.09,31.62,52.59,83.55,28600,43870,65780,109400,173790,,
27-2011,Actors,detailed,44460,13.5,31.42,0,4.5,10.51,14.04,21.88,30.38,64.92,0,0,0,0,0,,True
27-2012,Producers and Directors,detailed,119490,5.6,46.49,96690,2.6,17.34,24.89,36.73,56.74,88.78,36070,51760,76400,118020,184660,,
27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad,233160,1.6,,48310,1.0,,,,,,19320,25000,36050,55560,83410,True,
27-2021,Athletes and Sports Competitors,detailed,8380,5.4,,94740,6.0,,,,,,20270,25790,50850,105510,0,True,
27-2022,Coaches and Scouts,detailed,208180,1.7,,47100,0.9,,,,,,19340,25190,36330,55530,81940,True,
27-2023,"Umpires, Referees, and Other Sports Officials",detailed,16590,3.7,,40140,5.1,,,,,,18750,22560,28940,45590,63480,True,
27-2030,Dancers and Choreographers,broad,10950,6.7,25.05,52110,2.8,11.14,13.87,19.11,29.66,48.74,23170,28860,39750,61700,101370,,
27-2031,Dancers,detailed,7370,8.0,25.08,0,3.3,11.68,13.77,18.58,29.21,48.76,0,0,0,0,0,,True
27-2032,Choreographers,detailed,3580,11.6,25.0,52000,4.4,10.18,14.14,21.0,30.33,48.68,21180,29420,43680,63080,101250,,
27-2040,"Musicians, Singers, and Related Workers",broad,43970,3.0,39.61,0,2.3,11.23,17.34,29.56,51.18,82.78,0,0,0,0,0,,True
27-2041,Music Directors and Composers,detailed,9200,5.3,31.6,65720,4.9,11.49,16.34,25.12,36.54,59.8,23890,33990,52250,76000,124390,,
27-2042,Musicians and Singers,detailed,34770,3.6,41.72,0,2.5,11.17,17.67,31.4,54.6,87.47,0,0,0,0,0,,True
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",broad,13760,9.6,23.99,0,7.4,8.86,11.36,15.7,25.12,43.16,0,0,0,0,0,,True
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",detailed,13760,9.6,23.99,0,7.4,8.86,11.36,15.7,25.12,43.16,0,0,0,0,0,,True
27-3000,Media and Communication Workers,minor,591650,0.9,33.74,70180,0.4,15.18,20.86,29.48,40.81,56.63,31580,43390,61310,84890,117780,,
27-3010,Broadcast Announcers and Radio Disc Jockeys,broad,27290,3.0,27.55,57300,2.3,9.41,12.07,17.68,28.84,54.83,19580,25110,36770,59980,114050,,
27-3011,Broadcast Announcers and Radio Disc Jockeys,detailed,27290,3.0,27.55,57300,2.3,9.41,12.07,17.68,28.84,54.83,19580,25110,36770,59980,114050,,
27-3020,"News Analysts, Reporters and Journalists",broad,41580,3.7,31.73,66000,1.6,12.26,15.46,23.7,38.92,61.24,25510,32160,49300,80950,127370,,
27-3023,"News Analysts, Reporters, and Journalists",detailed,41580,3.7,31.73,66000,1.6,12.26,15.46,23.7,38.92,61.24,25510,32160,49300,80950,127370,,
27-3030,Public Relations Specialists,broad,244550,1.1,34.58,71940,0.6,17.0,22.42,30.2,41.05,56.83,35350,46630,62810,85380,118210,,
27-3031,Public Relations Specialists,detailed,244550,1.1,34.58,71940,0.6,17.0,22.42,30.2,41.05,56.83,35350,46630,62810,85380,118210,,
27-3040,Writers and Editors,broad,186490,1.3,36.67,76270,0.7,17.49,23.75,32.56,44.58,60.52,36380,49400,67730,92720,125880,,
27-3041,Editors,detailed,93370,2.0,35.53,73910,1.0,16.16,21.78,30.48,43.05,60.96,33620,45310,63400,89530,126800,,
27-3042,Technical Writers,detailed,48880,1.9,37.78,78590,0.6,21.88,27.86,35.89,46.01,57.23,45510,57960,74650,95690,119040,,
27-3043,Writers and Authors,detailed,44240,2.2,37.82,78680,1.5,17.25,23.7,32.27,45.24,64.17,35880,49310,67120,94090,133460,,
27-3090,Miscellaneous Media and Communication Workers,broad,91740,2.9,28.29,58840,1.0,13.51,18.19,25.64,36.11,47.56,28100,37830,53330,75100,98920,,
27-3091,Interpreters and Translators,detailed,56920,4.3,27.95,58140,1.3,14.3,18.46,25.16,34.92,46.38,29740,38410,52330,72630,96480,,
27-3092,Court Reporters and Simultaneous Captioners,detailed,13880,4.9,32.07,66710,2.0,15.19,21.02,29.64,42.51,52.52,31600,43730,61660,88420,109240,,
27-3099,"Media and Communication Workers, All Other",detailed,20940,4.9,26.7,55540,1.8,11.72,16.0,23.91,35.06,45.72,24370,33270,49730,72930,95100,,
27-4000,Media and Communication Equipment Workers,minor,205400,1.7,28.84,59990,1.7,12.55,16.73,24.46,35.74,49.92,26100,34790,50870,74330,103840,,
27-4011,Audio and Video Technicians,detailed,62360,2.4,25.67,53390,1.2,13.39,17.1,23.04,31.22,41.85,27840,35570,47920,64940,87050,,
27-4012,Broadcast Technicians,detailed,25960,3.0,23.68,49250,1.2,10.37,13.91,20.95,30.28,40.2,21570,28930,43570,62980,83620,,
27-4014,Sound Engineering Technicians,detailed,10870,5.2,32.31,67210,4.1,13.3,17.05,25.73,37.22,57.56,27650,35460,53520,77410,119720,,
27-4020,Photographers,broad,41600,2.4,24.18,50290,1.7,10.78,13.72,19.85,30.02,41.76,22410,28530,41280,62440,86850,,
27-4021,Photographers,detailed,41600,2.4,24.18,50290,1.7,10.78,13.72,19.85,30.02,41.76,22410,28530,41280,62440,86850,,
27-4030,"Television, Video, and Film Camera Operators and Editors",broad,42750,3.3,36.6,76130,3.3,15.36,20.86,29.76,44.94,65.77,31950,43390,61900,93480,136800,,
27-4031,"Camera Operators, Television, Video, and Film",detailed,20340,3.8,32.5,67590,2.7,14.01,19.01,27.5,39.22,59.24,29140,39550,57200,81580,123220,,
27-4032,Film and Video Editors,detailed,22410,4.9,40.33,83880,3.8,16.77,22.71,32.33,48.47,73.42,34870,47240,67250,100830,152720,,
27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",detailed,21860,8.8,36.0,74880,1.6,14.98,21.75,34.12,47.27,59.46,31150,45240,70980,98330,123670,,
29-0000,Healthcare Practitioners and Technical Occupations,major,8579180,0.3,41.3,85900,0.2,17.11,24.16,33.59,47.95,71.5,35580,50250,69870,99740,148720,,
29-1000,Healthcare Diagnosing or Treating Practitioners,minor,5611620,0.4,50.58,105220,0.3,26.05,31.46,40.59,57.36,88.8,54190,65430,84430,119300,184710,,
29-1010,Chiropractors,broad,34760,2.7,40.3,83830,1.8,17.01,25.51,34.0,47.14,66.32,35390,53070,70720,98050,137950,,
29-1011,Chiropractors,detailed,34760,2.7,40.3,83830,1.8,17.01,25.51,34.0,47.14,66.32,35390,53070,70720,98050,137950,,
29-1020,Dentists,broad,111210,2.2,89.57,186300,1.2,38.01,56.25,78.85,,,79060,116990,164010,0,0,,
29-1021,"Dentists, General",detailed,95920,2.4,86.94,180830,1.3,38.97,55.43,76.41,,,81060,115290,158940,0,0,,
29-1022,Oral and Maxillofacial Surgeons,detailed,4120,10.3,112.98,234990,4.7,30.69,75.1,,,,63840,156210,0,0,0,,
29-1023,Orthodontists,detailed,5040,10.8,114.42,237990,5.1,35.59,72.23,,,,74020,150250,0,0,0,,
29-1024,Prosthodontists,detailed,530,23.5,103.3,214870,11.4,38.59,57.55,,,,80270,119710,0,0,0,,
29-1029,"Dentists, All Other Specialists",detailed,5610,9.3,93.72,194930,5.0,39.01,66.86,88.12,,,81140,139080,183300,0,0,,
29-1030,Dietitians and Nutritionists,broad,66330,1.3,30.84,64150,0.4,19.15,24.86,30.33,37.1,43.27,39840,51700,63090,77180,90000,,
29-1031,Dietitians and Nutritionists,detailed,66330,1.3,30.84,64150,0.4,19.15,24.86,30.33,37.1,43.27,39840,51700,63090,77180,90000,,
29-1040,Optometrists,broad,36690,3.2,60.31,125440,1.2,29.21,43.84,56.76,70.06,94.14,60750,91180,118050,145720,195810,,
29-1041,Optometrists,detailed,36690,3.2,60.31,125440,1.2,29.21,43.84,56.76,70.06,94.14,60750,91180,118050,145720,195810,,
29-1050,Pharmacists,broad,315470,1.1,60.32,125460,0.3,40.96,54.18,61.88,71.01,79.32,85210,112690,128710,147690,164980,,
29-1051,Pharmacists,detailed,315470,1.1,60.32,125460,0.3,40.96,54.18,61.88,71.01,79.32,85210,112690,128710,147690,164980,,
29-1070,Physician Assistants,broad,125280,1.7,55.81,116080,0.5,36.88,46.02,55.48,65.01,78.11,76700,95730,115390,135220,162470,,
29-1071,Physician Assistants,detailed,125280,1.7,55.81,116080,0.5,36.88,46.02,55.48,65.01,78.11,76700,95730,115390,135220,162470,,
29-1080,Podiatrists,broad,9710,3.8,72.65,151110,2.5,26.55,39.78,64.57,94.25,,55230,82750,134300,196030,0,,
29-1081,Podiatrists,detailed,9710,3.8,72.65,151110,2.5,26.55,39.78,64.57,94.25,,55230,82750,134300,196030,0,,
29-1120,Therapists,broad,684330,0.7,39.44,82030,0.3,23.83,30.11,38.45,47.92,57.58,49560,62630,79970,99680,119760,,
29-1122,Occupational Therapists,detailed,126610,1.2,42.06,87480,0.4,27.56,34.08,41.48,49.55,58.98,57330,70880,86280,103060,122670,,
29-1123,Physical Therapists,detailed,220870,1.1,44.08,91680,0.3,30.54,36.23,43.75,50.99,60.95,63530,75360,91010,106060,126780,,
29-1124,Radiation Therapists,detailed,17390,3.2,45.34,94300,1.2,28.88,34.3,41.76,51.84,63.91,60080,71350,86850,107830,132930,,
29-1125,Recreational Therapists,detailed,20080,4.9,24.64,51260,1.1,15.12,18.06,22.94,30.02,38.1,31450,37570,47710,62440,79250,,
29-1126,Respiratory Therapists,detailed,131890,1.0,31.56,65640,0.3,22.09,26.05,30.2,36.52,42.87,45940,54170,62810,75950,89170,,
29-1127,Speech-Language Pathologists,detailed,148450,1.7,40.02,83240,0.6,24.22,30.19,38.69,48.61,59.04,50370,62790,80480,101110,122790,,
29-1128,Exercise Physiologists,detailed,7330,3.9,25.97,54020,0.7,17.34,20.45,24.17,30.09,37.58,36070,42550,50280,62600,78170,,
29-1129,"Therapists, All Other",detailed,11710,4.5,29.85,62090,1.8,16.48,21.14,27.55,36.77,46.23,34270,43970,57310,76480,96160,,
29-1130,Veterinarians,broad,73710,1.8,52.09,108350,1.1,29.18,38.19,47.72,60.7,79.08,60690,79430,99250,126260,164490,,
29-1131,Veterinarians,detailed,73710,1.8,52.09,108350,1.1,29.18,38.19,47.72,60.7,79.08,60690,79430,99250,126260,164490,,
29-1140,Registered Nurses,broad,2986500,0.5,38.47,80010,0.4,25.68,29.63,36.22,44.99,55.88,53410,61630,75330,93590,116230,,
29-1141,Registered Nurses,detailed,2986500,0.5,38.47,80010,0.4,25.68,29.63,36.22,44.99,55.88,53410,61630,75330,93590,116230,,
29-1150,Nurse Anesthetists,broad,41960,3.7,90.96,189190,0.9,64.41,74.3,88.26,,,133970,154540,183580,0,0,,
29-1151,Nurse Anesthetists,detailed,41960,3.7,90.96,189190,0.9,64.41,74.3,88.26,,,133970,154540,183580,0,0,,
29-1160,Nurse Midwives,broad,7120,4.4,55.55,115540,1.9,32.55,44.03,53.43,65.84,86.43,67710,91590,111130,136960,179770,,
29-1161,Nurse Midwives,detailed,7120,4.4,55.55,115540,1.9,32.55,44.03,53.43,65.84,86.43,67710,91590,111130,136960,179770,,
29-1170,Nurse Practitioners,broad,211280,1.3,55.05,114510,0.4,39.88,45.62,53.69,62.62,75.08,82960,94890,111680,130240,156160,,
29-1171,Nurse Practitioners,detailed,211280,1.3,55.05,114510,0.4,39.88,45.62,53.69,62.62,75.08,82960,94890,111680,130240,156160,,
29-1180,Audiologists,broad,13300,4.9,42.9,89230,2.2,27.19,33.15,38.95,49.14,61.62,56550,68940,81030,102220,128160,,
29-1181,Audiologists,detailed,13300,4.9,42.9,89230,2.2,27.19,33.15,38.95,49.14,61.62,56550,68940,81030,102220,128160,,
29-1211,Anesthesiologists,detailed,28590,5.9,130.5,271440,1.9,65.47,,,,,136180,0,0,0,0,,
29-1215,Family Medicine Physicians,detailed,98590,2.3,103.06,214370,1.3,38.28,71.31,99.7,,,79610,148320,207380,0,0,,
29-1216,General Internal Medicine Physicians,detailed,50600,3.7,101.42,210960,2.0,30.93,54.08,,,,64340,112490,0,0,0,,
29-1218,Obstetricians and Gynecologists,detailed,18900,4.3,114.96,239120,1.8,39.58,84.36,,,,82330,175470,0,0,0,,
29-1221,"Pediatricians, General",detailed,27550,4.0,88.74,184570,1.7,33.4,61.02,85.16,,,69470,126930,177130,0,0,,
29-1223,Psychiatrists,detailed,25540,3.6,104.38,217100,1.8,33.4,65.05,,,,69470,135300,0,0,0,,
29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",detailed,375390,1.6,105.22,218850,0.9,29.51,60.8,,,,61380,126470,0,0,0,,
29-1248,"Surgeons, Except Ophthalmologists",detailed,37900,3.9,120.99,251650,1.8,37.13,90.47,,,,77240,188170,0,0,0,,
29-1290,Miscellaneous Healthcare Diagnosing or Treating Practitioners,broad,230900,1.2,38.97,81060,1.1,25.58,31.16,37.25,45.32,53.76,53200,64810,77490,94270,111830,,
29-1292,Dental Hygienists,detailed,194830,1.4,37.53,78050,0.6,26.06,31.46,37.06,44.05,50.2,54200,65440,77090,91620,104420,,
